state,race_id,description,subject
AL,AL-1970,Right to bear arms,Gun Rights
AL,AL-1972,Right to hunt and fish,Gun Rights
AK,AK-3093,Marijuana legalizaton,Marijuana
AK,AK-3094,Minimum wage increase,Minimum Wage
AZ,AZ-4200,State sovereignty (Prop. 122),Miscellaneous
AR,AR-6468,Minimum wage increase (Issue 5),Minimum Wage
CO,CO-7573,Definition of personhood (Amendment 67),Abortion
CO,CO-7574,Mandatory labeling of GMOs (Prop. 105),GMOs
DC,DC-9334,Marijuana legalizaton (Initiative 71),Marijuana
FL,FL-11681,Medical marijuana (Amendment 2),Marijuana
IL,IL-16329,Minimum wage increase,Minimum Wage
IL,IL-16330,Birth control in prescription drug coverage,Abortion
ME,ME-21269,Bear hunting ban,Gun Rights
MA,MA-24699,Paid sick days (Question 4),Economic
MI,MI-24549,Wolf hunting,Gun Rights
MS,MS-27131,Right to hunt and fish,Gun Rights
MO,MO-27456,Teacher performance evaluation (Amendment 3),Education
NE,NE-29334,Minimum wage increase,Minimum Wage
ND,ND-35683,Life begins at conception,Abortion
OR,OR-39072,Fund for post-secondary education,Education
OR,OR-39073,Top two primary,Election Reform
OR,OR-39067,Legalized marijuana,Marijuana
OR,OR-39074,Mandatory labeling of GMOs,GMOs
SD,SD-42551,Minimum wage increase,Minimum Wage
TN,TN-43705,Legislative powers regarding abortion,Abortion
WA,WA-49385,Background checks for gun purchases,Gun Rights
WA,WA-49384,Gun rights,Gun Rights